Hash,Paths,NS,ND,NF,Entropy,FIX
c3408e7244a4c0e6c22aab44cbcaab7b6ad4d489,[editusers.cgi],1,1,1,0.0,1,0
d2de194a05d12cf24138727a1a28bfb6320a9f73,[docs/xml/administration.xml],1,1,1,0.0,1,0
9d1249a9d9f86c68e529fe619a88526dcaf3cbb7,[docs/xml/administration.xml],1,1,1,0.0,1,0
5ffc444f94592918dddf6d3c85f81b1baa22c587,[docs/xml/installation.xml],1,1,1,0.0,1,0
7baeba807857a12b9aedde5b3840635588f8ca3d,[docs/xml/administration.xml],1,1,1,0.0,1,0
647577784777d9b71113d5353efbcfa4600fb6ae,[template/en/default/bug/knob.html.tmpl],1,1,1,0.0,1,0
882b1b2e6103563320be1f8f4c2a5aa46dc491fa,[docs/xml/administration.xml],1,1,1,0.0,1,0
ea7030a701bfdb503df542c3d7e814b8ea702929,"[Bugzilla/Bug.pm, globals.pl, template/en/default/global/user-error.html.tmpl]",3,3,3,1.561278124459133,1,0
d2664956a3387b9b969f1c1bec7dc615f95bc9a7,[checksetup.pl],1,1,1,0.0,1,0
8c3f0e1aeaddedd8a9b377ed4ff9a8a31b917600,"[defparams.pl, enter_bug.cgi, template/en/default/bug/create/create.html.tmpl]",2,2,3,1.5402513451679307,1,0
97d976961aaabcebd5307edab9de31213b265087,[template/en/default/global/user-error.html.tmpl],1,1,1,0.0,1,0
8a225c2784f6343cd3958b2baabab5d462b46310,"[editgroups.cgi, template/en/default/admin/groups/edit.html.tmpl, template/en/default/global/user-error.html.tmpl]",2,3,3,0.37093501593392675,1,0
a1ebb1dc2f70d884adb8c2e308ffc36fde647398,[template/en/default/bug/votes/list-for-user.html.tmpl],1,1,1,0.0,1,0
db56c51ee6520dc23de5cdde41e3d2e1fcf4a3bf,[template/en/default/bug/edit.html.tmpl],1,1,1,0.0,1,0
7b1ba221b42fbb27540207a8af253daba75d25f8,[checksetup.pl],1,1,1,0.0,1,0
c77b0f621e496eacf61d4be79319d05ba23d6b1f,[editgroups.cgi],1,1,1,0.0,1,0
d40e52583a3a290ef666fe4b2b34bb61d59d0ea5,[template/en/default/global/user-error.html.tmpl],1,1,1,0.0,1,0
cde2d370ea2b46e862d4ec2262ea2b2f7520bb4b,"[Bugzilla/Search.pm, buglist.cgi]",2,2,2,0.9852281360342515,1,0
4f8be6528de20edd9a5eaa599b11a95a50382918,"[globals.pl, process_bug.cgi]",1,1,2,1.0,1,0
6d0103591955685c96a0a9afa527d551022c83fc,"[editcomponents.cgi, editmilestones.cgi, editversions.cgi, template/en/default/global/user-error.html.tmpl]",2,2,4,1.2776134368191152,1,0
cb395034dca34035f3c55a92999edf7df037a141,[Bugzilla/Bug.pm],1,1,1,0.0,1,0
1199b6b006fd5a8bb2e851ec48dd6e89a4367fc2,"[template/en/default/list/edit-multiple.html.tmpl, template/en/default/list/list.html.tmpl, template/en/default/list/table.html.tmpl]",1,1,3,0.8013301604210115,1,0
e8e8e8394944fb0d2e0f285b4f4104c27db1771a,[template/en/default/bug/create/create.html.tmpl],1,1,1,0.0,1,0
710625c68cc4e2659abac5f6ad98e8e2954ad745,[config.cgi],1,1,1,0.0,1,0
151e10f54d18f1819551766974139f88d6e012f7,[Bugzilla/Bug.pm],1,1,1,0.0,1,0
010b47e1419dda10cc28478faae34afb04770b02,[template/en/default/global/user-error.html.tmpl],1,1,1,0.0,1,0
fc3aa3e7aa78106e8148b3ecbd92e65e5ad63985,"[editproducts.cgi, template/en/default/admin/products/footer.html.tmpl, template/en/default/admin/products/list.html.tmpl, template/en/default/admin/table.html.tmpl, template/en/default/filterexceptions.pl]",2,4,5,1.9001535991695127,1,0
07e9d0d20d3907a8180e1f3708b72c86e26a8528,[Bugzilla/BugMail.pm],1,1,1,0.0,1,0
4d2f2325507877dd6743dd0f9474ee748e18a41e,[Bugzilla/DB.pm],1,1,1,0.0,1,0
25910f59aa99c9bef0cf091c5176583673bfcd2e,[template/en/default/global/user-error.html.tmpl],1,1,1,0.0,1,0
62b2ec349b01a454420eaadd22caad929521a76e,"[Bugzilla/Config.pm, Bugzilla/DB.pm, Bugzilla/DB/Mysql.pm, Bugzilla/DB/Pg.pm, checksetup.pl, config.cgi, query.cgi]",2,3,7,1.6814243595012135,1,0
acbf58332f37936e20e7ff10a0cc3f450a736a00,[query.cgi],1,1,1,0.0,1,0
5601df4505bb893aea5956bceefa28abf9014e5d,[Bugzilla/BugMail.pm],1,1,1,0.0,1,0
16473ce5a482f09d81c10e6692126ba6c21f8daa,[enter_bug.cgi],1,1,1,0.0,1,0
db654f60eee16ea5065f1b491ddcc7d74b401531,"[Bugzilla/Search.pm, editusers.cgi]",2,2,2,0.8997437586982626,1,0
ccbdbf2058bd2cf6374d51256b0f20f94ff8d77c,"[skins/standard/global.css, template/en/default/global/header.html.tmpl]",2,2,2,0.8426578772022391,1,0
9f5bff4524923dfa2f377fbaead0dfd1286f890c,"[checksetup.pl, t/001compile.t]",2,2,2,0.9182958340544894,1,0
6da9832a7795a3544754ece9e560cdfb949dbdad,[docs/xml/installation.xml],1,1,1,0.0,1,0
f95d1faba79c94bcf3bf936334d6bb10e03c93b2,[template/en/default/index.html.tmpl],1,1,1,0.0,1,0
9d9d882b15d87d005e2ea33302777705dbca9618,[buglist.cgi],1,1,1,0.0,1,0
31edd11972e360a0773ee071c9b4666c51edfcef,"[editgroups.cgi, template/en/default/admin/groups/edit.html.tmpl]",2,2,2,0.954434002924965,1,0
74f292e009aebd0e461c635eaf2bb6d88b6647be,[docs/xml/installation.xml],1,1,1,0.0,1,0
c720bf60573fdb92874056ffd07c3d6055df22af,[template/en/default/global/code-error.html.tmpl],1,1,1,0.0,1,0
2cfad107065b4c3c290d8f3fa93f7c82332523e9,[query.cgi],1,1,1,0.0,1,0
d3f8bf365e5b93f58497a25e07fde7ce30884f9d,"[Bugzilla/Constants.pm, Bugzilla/DB.pm, Bugzilla/Error.pm, Bugzilla/Series.pm, Bugzilla/Token.pm, Bugzilla/User.pm, attachment.cgi, buglist.cgi, checksetup.pl, editclassifications.cgi, editcomponents.cgi, editflagtypes.cgi, editgroups.cgi, editmilestones.cgi, editproducts.cgi, editversions.cgi, process_bug.cgi, query.cgi, sanitycheck.cgi, token.cgi, userprefs.cgi, votes.cgi, whine.pl]",2,2,23,4.0987452114591125,1,0
5e17f7d9d649af2cb399e834d97ad7762af09566,[template/en/default/global/field-descs.none.tmpl],1,1,1,0.0,1,0
f76ab38ea951522b2db8c356abb5aeb1414d3dcb,[template/en/default/global/user-error.html.tmpl],1,1,1,0.0,1,0
62eecf24480520e204ab0057f8f7845c13f37c13,"[Bugzilla/Auth/Login/WWW/CGI.pm, Bugzilla/Auth/Login/WWW/Env.pm, attachment.cgi, checksetup.pl, contrib/bug_email.pl, editgroups.cgi, editproducts.cgi, editusers.cgi, importxml.pl, post_bug.cgi]",3,3,10,3.0316238178317465,1,0
2c2bce1a6c7d3e17934d6f079dabcb56df3b8488,[template/en/default/admin/products/groupcontrol/edit.html.tmpl],1,1,1,0.0,1,0
9f04d00eb4f1c69390dc5283538c1d286e898930,"[Bugzilla/Bug.pm, globals.pl, template/en/default/global/user-error.html.tmpl]",3,3,3,1.561278124459133,1,0
e9273ed3ae65db0e2c6f0b8889c852667a8f26b6,"[Bugzilla/DB.pm, checksetup.pl]",2,2,2,0.9997779672118906,1,0
1ab7c9d7a1495c0f95e6e8ae12249a7ccb3c1465,[template/en/default/flag/list.html.tmpl],1,1,1,0.0,1,0
e9b96dbeba6b9c6628c4286c4aec8503dcbcefa7,[template/en/default/bug/edit.html.tmpl],1,1,1,0.0,1,0
b9402d3e113b408143c7ad18f1cb798023c7d178,"[Bugzilla/Search.pm, Bugzilla/Token.pm, Bugzilla/User.pm, buglist.cgi, checksetup.pl, collectstats.pl, globals.pl, process_bug.cgi, sanitycheck.cgi, userprefs.cgi, whine.pl]",2,2,11,3.258076148627222,1,0
335b8c125f821a96ddfd769163c92c1d74ce62f6,[checksetup.pl],1,1,1,0.0,1,0
cc73e8e4f6726abd0421c78445b18bd21b28169e,"[Bugzilla/Constants.pm, Bugzilla/Group.pm, Bugzilla/Search.pm, checksetup.pl, editgroups.cgi, editwhines.cgi, template/en/default/whine/schedule.html.tmpl, whine.pl]",3,3,8,2.175512110913231,1,0
8b4d0095a9a2c3e5543122ccb3fea24d72d094f1,[reports.cgi],1,1,1,0.0,1,0
30a52319c024fefb2b4e4aa7bd974e4af7af30cd,"[Bugzilla/Attachment.pm, Bugzilla/Config.pm, attachment.cgi, checksetup.pl, defparams.pl, template/en/default/attachment/create.html.tmpl, template/en/default/global/user-error.html.tmpl]",3,4,7,2.0344549867866983,1,0
e547dd6d7b7b9a3c2135c56dd6b7a433743fd4b1,"[Bugzilla/Auth/Login/WWW/CGI.pm, Bugzilla/Chart.pm, Bugzilla/Search.pm, Bugzilla/Token.pm, checksetup.pl, collectstats.pl, whineatnews.pl]",2,3,7,2.7166523436269707,1,0
25d5d986a6534cf7d5df7c505b2e99f7b4c02111,[Bugzilla/Search.pm],1,1,1,0.0,1,0
6661416841b617cd1bb3927146403553a33c55be,[reports.cgi],1,1,1,0.0,1,0
b6ddaf9809207f52a5f2ccefbb323eb92c887c8a,"[buglist.cgi, template/en/default/global/user-error.html.tmpl]",2,2,2,0.7219280948873623,1,0
d7958942a691a719be4d3433b5a24817c8646f9a,"[Bugzilla/Search.pm, Bugzilla/Token.pm, contrib/sendunsentbugmail.pl, sanitycheck.cgi, userprefs.cgi, whine.pl]",3,3,6,2.10292569465153,1,0
fbd738200b03280b3670a3d60e9606d644d3ae43,[docs/xml/using.xml],1,1,1,0.0,1,0
c7f7aa289892e6613135ea1727f688ee4b82a3ab,[sanitycheck.cgi],1,1,1,0.0,1,0
5ab2ac799e59664cbc283c03e526be1dcfac7380,[process_bug.cgi],1,1,1,0.0,1,0
c1d16e426c2d1f2fe5563c0d20b3b8eb256d8c77,[editclassifications.cgi],1,1,1,0.0,1,0
cad68b081c893e805ce155178d8d76e51fd98579,[process_bug.cgi],1,1,1,0.0,1,0
f526db6ad99edefb87aa7f9212438aac7cabea52,[sanitycheck.cgi],1,1,1,0.0,1,0
e6f4f6c720488c19d06aa5854cb13cf124687627,[process_bug.cgi],1,1,1,0.0,1,0
7611241906e68c131892b2ac539e6a52115eb1ee,"[docs/xml/Bugzilla-Guide.xml, docs/xml/installation.xml]",1,1,2,1.0,1,0
1e734201ceb9fe600d739ea4a0e254af857af45f,[post_bug.cgi],1,1,1,0.0,1,0
12feab493e0f734375ac6a542560e2603994bdf6,[Bugzilla/Bug.pm],1,1,1,0.0,1,0
63dde60072374b2f7ef2f756d4ab9dff66669793,"[Bugzilla/Attachment.pm, Bugzilla/Bug.pm, CGI.pl, attachment.cgi, buglist.cgi, globals.pl, request.cgi, whine.pl]",2,2,8,2.706800319844847,1,0
a7a5e6f9288db956a39e75ec28a02dd2bfcc14df,[post_bug.cgi],1,1,1,0.0,1,0
e92cc4c9b115dfae6e352660c053e142634a3ef4,"[Bugzilla/Search.pm, checksetup.pl, globals.pl, sanitycheck.cgi]",2,2,4,1.1196976594352033,1,0
65f999de859324507eb40e934bc6b647f143511a,"[Bugzilla/Util.pm, userprefs.cgi]",2,2,2,0.9942417967729404,1,0
fa9b63f55b3118a30ff641d0e386266eb877e258,"[Bugzilla/Bug.pm, Bugzilla/BugMail.pm, Bugzilla/Flag.pm, Bugzilla/Search.pm, Bugzilla/User.pm, contrib/bug_email.pl, contrib/sendbugmail.pl, editcomponents.cgi, editusers.cgi, editwhines.cgi, globals.pl, importxml.pl]",3,3,12,2.9711273193357264,1,0
80c0cdba14f2fe81d7803e46af91ab5e77e45266,[defparams.pl],1,1,1,0.0,1,0
b8a8680e9d5ed7de541ab9f4e0275fa79a9a6d30,"[editvalues.cgi, template/en/default/admin/fieldvalues/confirm-delete.html.tmpl, template/en/default/admin/fieldvalues/create.html.tmpl, template/en/default/admin/fieldvalues/created.html.tmpl, template/en/default/admin/fieldvalues/deleted.html.tmpl, template/en/default/admin/fieldvalues/edit.html.tmpl, template/en/default/admin/fieldvalues/footer.html.tmpl, template/en/default/admin/fieldvalues/list.html.tmpl, template/en/default/admin/fieldvalues/select-field.html.tmpl, template/en/default/admin/fieldvalues/updated.html.tmpl, template/en/default/admin/table.html.tmpl, template/en/default/global/useful-links.html.tmpl, template/en/default/global/user-error.html.tmpl]",2,4,13,3.046463678532558,1,0
e55f50413748e341795cc9233f61ffc26f346df5,[Bugzilla/RelationSet.pm],1,1,1,0.0,1,0
a1dfde52fc4c46ac9b810d4f2be9f3beb8dd80ae,[checksetup.pl],1,1,1,0.0,1,0
bd2fa9ea77fb4097565ffbe1f6425598c6f8f31e,[Bugzilla/Error.pm],1,1,1,0.0,1,0
dedbe7d00c18c44bfe3ddd9cda8171e6ba599a89,"[Bugzilla/User.pm, editusers.cgi, globals.pl, userprefs.cgi]",2,2,4,1.1586808960279047,1,0
