Hash,Paths,NS,ND,NF,Entropy,FIX
8f5a0bbc0bd8b0d47ea09b5a05befd9864ca0d3b,[Bugzilla/User.pm],1,1,1,0.0,1,0
ffc65dbf963cf4fc1541d465ea40232c61232965,[Bugzilla/BugMail.pm],1,1,1,0.0,1,0
8508ede5763d9d98d8c4fc755847752d192c2126,"[Bugzilla/Util.pm, checksetup.pl, post_bug.cgi, process_bug.cgi]",2,2,4,1.426344547043374,1,0
cc05f16850151b5e4d8444ab517c1106724533a7,[Bugzilla/User.pm],1,1,1,0.0,1,0
8a751a1e448b17a66a63b5728ffce0b456bc762b,[Bugzilla/Auth/Login/WWW/CGI.pm],1,1,1,0.0,1,0
2ebb84291955ea5b1f5bf35b9fb7760dddaec5e0,"[Bugzilla/Template.pm, globals.pl, template/en/default/bug/comments.html.tmpl, template/en/default/bug/process/midair.html.tmpl]",3,4,4,1.684185736908434,1,0
94232797b7ea157c75ee92a9830993fbff1caad1,[Bugzilla/BugMail.pm],1,1,1,0.0,1,0
9c480f386e5824b5adc2bfe03c1f7b970436a921,"[checksetup.pl, globals.pl, post_bug.cgi, process_bug.cgi]",1,1,4,1.474381086877901,1,0
5e09d3f90016f6154700d554e65a9490b3ffa1df,[Bugzilla/Auth/Login/WWW/CGI.pm],1,1,1,0.0,1,0
31f1c1ee0f9aab4ad5397a346bf5fb800e9d0ab0,"[Bugzilla/Template.pm, globals.pl, template/en/default/bug/comments.html.tmpl, template/en/default/bug/process/midair.html.tmpl]",3,4,4,1.684185736908434,1,0
ef5e612732d6f76d1c29e17b34498789ade1efc7,"[template/en/default/admin/products/groupcontrol/confirm-edit.html.tmpl, template/en/default/attachment/diff-header.html.tmpl, template/en/default/bug/summarize-time.html.tmpl]",1,3,3,1.3709505944546687,1,0
5f03764402c64da00a0ad6fcd376403066d34d44,"[template/en/default/bug/comments.html.tmpl, template/en/default/filterexceptions.pl]",1,2,2,0.5916727785823274,1,0
e21a2b26516a5195058c30d370136ad9ffe3cbea,"[Bugzilla/Util.pm, checksetup.pl, post_bug.cgi, process_bug.cgi]",2,2,4,1.5674849873019703,1,0
645e95abf828c530a1638934315c96e72768e8d1,[Bugzilla/Auth/Login/WWW/CGI.pm],1,1,1,0.0,1,0
7d01e4bc12896e1b7f035f708402fc30baa25e03,"[template/en/default/filterexceptions.pl, template/en/default/reports/duplicates-table.html.tmpl]",1,2,2,0.14981136747274795,1,0
80d9d70bb0340551f1a268bf60ecf3a46a5f7d92,[Bugzilla/Attachment.pm],1,1,1,0.0,1,0
15899fb54c7f2118a20078b1d33a0e346551b92a,[editflagtypes.cgi],1,1,1,0.0,1,0
a501990902c9a7535eec703c2597b2db44e0a19f,"[Bugzilla/Util.pm, checksetup.pl, post_bug.cgi, process_bug.cgi]",2,2,4,1.5516205753987116,1,0
c7a58f1ea0a45f4bf4f325b553eab20f82ebf63b,"[template/en/default/admin/products/groupcontrol/confirm-edit.html.tmpl, template/en/default/attachment/diff-header.html.tmpl, template/en/default/bug/summarize-time.html.tmpl]",1,3,3,1.3709505944546687,1,0
d2a0eafd3082e560c1a635c9e59ec0ebfed18a7e,"[Bugzilla/Bug.pm, bugzilla.dtd]",2,2,2,0.8453509366224364,1,0
9861f3ed932f8d469bcae4bfe2f26b6df3f11437,[editflagtypes.cgi],1,1,1,0.0,1,0
6930e2afb8af2a784f2c9ff6af3a8be6ee9a8920,[checksetup.pl],1,1,1,0.0,1,0
91cc642ea473afe0aba6c8dbdc4c550255ca5e03,"[checksetup.pl, importxml.pl, t/Support/Files.pm]",2,2,3,0.046207473892963265,1,0
9205baeded04fe9f66c9040fb0c6516abe08275d,"[editproducts.cgi, template/en/default/admin/products/groupcontrol/edit.html.tmpl]",2,2,2,0.7219280948873623,1,0
bdd1e6e3436b81aefd5e7aac1e7f53b1a9d9f591,[docs/xml/using.xml],1,1,1,0.0,1,0
d2c3b59391c8ca48ac0c58d16160791038029844,[checksetup.pl],1,1,1,0.0,1,0
c856f1ec2e30c85527965b7f1384fd9386fbcb86,[template/en/default/admin/flag-type/edit.html.tmpl],1,1,1,0.0,1,0
a75e969bae29b41c1b1b6d8020e8555fb4e821f9,[buglist.cgi],1,1,1,0.0,1,0
898c5921bbbc96765af1bae42fd8b185837c5c35,[docs/xml/using.xml],1,1,1,0.0,1,0
a47eba439a545a7f4542be3410fd1752d9c19c30,[sanitycheck.cgi],1,1,1,0.0,1,0
501cc533070b8c4366ae0d59e40a166a5f9452dc,[editgroups.cgi],1,1,1,0.0,1,0
bb73a94e18c732f34245b753dba060fa37181095,[buglist.cgi],1,1,1,0.0,1,0
a3418510cf741e2801627e7156506fbab72ef946,[template/en/default/admin/classifications/select.html.tmpl],1,1,1,0.0,1,0
c186f014897a25113206dae3c946bb1bb380172f,[sanitycheck.cgi],1,1,1,0.0,1,0
fb8598cd25fb5dfeecde63662079d92116a2d647,[editgroups.cgi],1,1,1,0.0,1,0
2f9ee9eb4cddbbbfc9b6223a78333f72403ab6b5,[editgroups.cgi],1,1,1,0.0,1,0
3bab091dccdb2bdfa10700b64664c6ba77b2ad2f,[template/en/default/admin/groups/list.html.tmpl],1,1,1,0.0,1,0
4c2d4f95543c038d05ff3766a8dbe2b65d49ae4e,"[editwhines.cgi, whine.pl]",1,1,2,1.0,1,0
0d69a7c9ed3e507cf3f8fa138a574123f2aea9d8,[Bugzilla/Chart.pm],1,1,1,0.0,1,0
3d2aaa5d315ff77d416eac52eebfc5ae857126b4,[Bugzilla/Template.pm],1,1,1,0.0,1,0
626c9a5c550142ca778adaad5abd707ad494fc5c,[template/en/default/admin/groups/list.html.tmpl],1,1,1,0.0,1,0
0dad7f9bc02b46b02a332d2cf7f4e80be9b562d4,[template/en/default/admin/params/mta.html.tmpl],1,1,1,0.0,1,0
8665566fbe070478a0c4a800b748942be2d6b632,"[editwhines.cgi, whine.pl]",1,1,2,1.0,1,0
d23273d87211acbdcf50eddd5b89ba62dc331d8a,[showdependencygraph.cgi],1,1,1,0.0,1,0
64c90c2ee21a2cb8b3808ab5f68480ac7045d86d,[Bugzilla/Chart.pm],1,1,1,0.0,1,0
33aa3086e79b60a7b4a55070ce09c1eb9eb0059a,[template/en/default/list/list.html.tmpl],1,1,1,0.0,1,0
6210108a551098485b101a3e6ecb78bab2ba3b74,[template/en/default/admin/params/common.html.tmpl],1,1,1,0.0,1,0
10272c25189c97257eba249340a2c505c1a17725,[whine.pl],1,1,1,0.0,1,0
d2a857f7732d5c6df84d105d33229c2d93b7c3b8,[Bugzilla.pm],1,1,1,0.0,1,0
621d150d20f2a94ed57dd764e81ae91a5595c69a,[template/en/default/list/list.html.tmpl],1,1,1,0.0,1,0
d9c4143562bf8e887684b9ea56b49dc6f682db4d,[showdependencygraph.cgi],1,1,1,0.0,1,0
17f6866278a1bd9fe7c4bea63c2346a2bad29c0e,[whine.pl],1,1,1,0.0,1,0
cbe13056d60170c0ed2f82bcd71a7063b96962c9,[docs/rel_notes.txt],1,1,1,0.0,1,0
793ef198cd226f889f0b2ec4078dac90797a6d93,[template/en/default/bug/edit.html.tmpl],1,1,1,0.0,1,0
93f433815b83ce1bf4bf2294fc152e52a274c9c8,[process_bug.cgi],1,1,1,0.0,1,0
36f9f7fabedbd1918fa04ccbb9629dc97033e043,[docs/xml/administration.xml],1,1,1,0.0,1,0
5804bb6fd1cc263ade33d82178498f5b19313df8,[docs/rel_notes.txt],1,1,1,0.0,1,0
b0db68907dfcf751e321393b01e4917647ebb700,[template/en/default/bug/edit.html.tmpl],1,1,1,0.0,1,0
7c77d816e3e953bcfac3c1de5869836bc217e0ba,[docs/rel_notes.txt],1,1,1,0.0,1,0
e4da69640f46a72d94210b86097e73558875b6fb,[template/en/default/list/list.html.tmpl],1,1,1,0.0,1,0
dd5e2f78d4a1a2209ccfda2cc5f6746e441160f6,[docs/xml/administration.xml],1,1,1,0.0,1,0
5e9dffe06a2d57c6618a11828d7bb610b3724e00,[docs/xml/using.xml],1,1,1,0.0,1,0
8edff4382a41c9a310b33e18f1e7638cc45056bb,[docs/rel_notes.txt],1,1,1,0.0,1,0
eb2e0667f347a311d792c69226812d4691cbd4b5,[docs/xml/administration.xml],1,1,1,0.0,1,0
baa5111f805cc51288e9dd82a89cbeb39425ec3a,[defparams.pl],1,1,1,0.0,1,0
1efd669b09e63472adf609852e5c2d93f7cbbe24,[docs/xml/using.xml],1,1,1,0.0,1,0
39e8d6dc7a8371433d8260b86ebc12396da1de7a,"[Bugzilla/Config/MTA.pm, Bugzilla/Config/Query.pm]",1,1,2,1.0,1,0
d95cd6e4e888fe3daacf7d2f5ca688018ae19a00,[docs/rel_notes.txt],1,1,1,0.0,1,0
166836ce79f710dd1f2b654fa6284053ed6fd5b5,[defparams.pl],1,1,1,0.0,1,0
fe7a0dc4d87d480665978f41e28774df282267ae,"[Bugzilla/Constants.pm, buglist.cgi, template/en/default/global/header.html.tmpl, template/en/default/list/list.atom.tmpl, template/en/default/list/list.html.tmpl, template/en/default/list/list.rss.tmpl]",3,4,6,1.4642846877341842,1,0
14be5c7bace5ecbe2188696d529c57303bffee61,[defparams.pl],1,1,1,0.0,1,0
3dfeda69a2befccb3194b9fee3c7111836df873d,"[Bugzilla/Config.pm, docs/xml/Bugzilla-Guide.xml, docs/xml/about.xml]",2,2,3,1.3382689280764646,0,0
c738859a411c63f64fa931a5275111aeb9d90fd8,"[Bugzilla/Constants.pm, buglist.cgi, template/en/default/global/header.html.tmpl, template/en/default/list/list.atom.tmpl, template/en/default/list/list.html.tmpl, template/en/default/list/list.rss.tmpl]",3,4,6,1.4880863557434196,1,0
c401ba318f9dcd511b8aad742f09680b79cec135,[template/en/default/account/auth/login-small.html.tmpl],1,1,1,0.0,1,0
7d66341d2246997fd0caaeebc6eaa9a4a1079c26,[Bugzilla/Config.pm],1,1,1,0.0,0,0
e1c94367d17acc42d62cebd248851f71dc9eb3c8,"[Bugzilla/Config.pm, docs/xml/Bugzilla-Guide.xml]",2,2,2,0.7219280948873623,0,0
c8a5ad748836fba7b52f9503733af04b6b1fa2b3,],0,0,0,0.0,1,0
2cc608ea830f890b4d2191398166c7d1da82b568,[template/en/default/account/auth/login-small.html.tmpl],1,1,1,0.0,1,0
21ebadc5acae665763c45bb87f616eb8a0480eb2,[Bugzilla/Config.pm],1,1,1,0.0,0,0
f41acac45d41e9a1e49a1a92a14f5b7ecea130c4,[docs/xml/using.xml],1,1,1,0.0,1,0
d62c6ff90096e6e63fcd74ca864926dfcdc24d7d,"[Bugzilla/Config.pm, docs/xml/Bugzilla-Guide.xml]",2,2,2,0.8112781244591328,0,0
d89fe4de45d320dcf8dac9f2b1e483626ad3d32e,"[docs/xml/Bugzilla-Guide.xml, globals.pl]",2,2,2,0.5916727785823274,0,0
023689a42608eaee0b03ed22c7922e76851e970e,[Bugzilla/Config.pm],1,1,1,0.0,0,0
da810dd869586cc837bd028a1249c71f72dbc21d,[docs/xml/using.xml],1,1,1,0.0,1,0
f365a5c674d439f8cb1825605569ba882900f395,[Bugzilla/Config.pm],1,1,1,0.0,0,0
bc3e67be44fd1f920032cf02ca7f66c3df53a55b,[docs/xml/using.xml],1,1,1,0.0,1,0
7780ace7e977d39ef9c904697e355248becf192b,[docs/xml/using.xml],1,1,1,0.0,1,0
eb1685818fc74743b358faef544e2fdd1b51c53e,[docs/xml/using.xml],1,1,1,0.0,1,0
5464358a48e825fbe8de7c165345889cdf6ff343,[Bugzilla/Auth.pm],1,1,1,0.0,1,0
da9ac9431cc959eedef78a5118ac3b4c6fbf7d03,"[Bugzilla.pm, Bugzilla/Bug.pm, Bugzilla/Constants.pm, Bugzilla/DB/Schema.pm, Bugzilla/Field.pm, checksetup.pl, customfield.pl, editcomponents.cgi, editmilestones.cgi, editproducts.cgi, process_bug.cgi, show_activity.cgi, show_bug.cgi, showdependencytree.cgi, summarize_time.cgi, template/en/default/bug/edit.html.tmpl, template/en/default/bug/field.html.tmpl]",3,4,17,2.1638932580460253,1,0
1103886b1c9b9cd8ebc25bc66c12b56fc3e4ac3c,[contrib/bug_email.pl],1,1,1,0.0,1,0
d1d00404414b157491cad8a77e196af5082bc059,[Bugzilla/Auth.pm],1,1,1,0.0,1,0
2283885c33bc4da67962de3e2cdc5e94d67ac1ef,[docs/xml/using.xml],1,1,1,0.0,1,0
7db1b85e66c510c6be68dd71dc680506cbdf2142,[docs/xml/using.xml],1,1,1,0.0,1,0
affa2aca34ee6292ee2b7de113c3033e4aff275e,[contrib/bug_email.pl],1,1,1,0.0,1,0
67bd8daab845430bc67415c1762878c75cf6511c,[Bugzilla/Auth.pm],1,1,1,0.0,1,0
50ea316f7818393c81746ea3cb7c090d5fd36a0b,[template/en/default/bug/create/comment.txt.tmpl],1,1,1,0.0,1,0
d1e296a411b73276e80345de68ad5e3aef690c93,[Bugzilla/Auth.pm],1,1,1,0.0,1,0
b7f0500a66f2042804a7b8631436a1fec6e9ddee,[contrib/bug_email.pl],1,1,1,0.0,1,0
60b9162729b1c13bb8bbe552f9b62b267035e2d4,[Bugzilla/Bug.pm],1,1,1,0.0,1,0
aa4c703bcee4ae1ced0326c14523eede076daa65,[template/en/default/bug/create/comment.txt.tmpl],1,1,1,0.0,1,0
edc8b211152a8e3bcb45f8ff089e3fead0fe1c51,"[template/en/default/attachment/created.html.tmpl, template/en/default/attachment/diff-header.html.tmpl, template/en/default/attachment/edit.html.tmpl, template/en/default/attachment/list.html.tmpl, template/en/default/attachment/show-multiple.html.tmpl]",1,1,5,2.1280852788913944,1,0
9c6621c57b287665f4a6afa197f136b8e0c39713,[skins/standard/global.css],1,1,1,0.0,1,0
8c2b901b38fbd2393882bb59becf68ffa1de20fb,[template/en/default/bug/create/comment.txt.tmpl],1,1,1,0.0,1,0
2ce4b59a775854584384e5e8d240dc90352d7bda,[template/en/default/global/user-error.html.tmpl],1,1,1,0.0,1,0
680f4ad958a9d5b0f06609c8ac78de788f862aea,"[template/en/default/attachment/created.html.tmpl, template/en/default/attachment/diff-header.html.tmpl, template/en/default/attachment/edit.html.tmpl, template/en/default/attachment/list.html.tmpl, template/en/default/attachment/show-multiple.html.tmpl]",1,1,5,2.1280852788913944,1,0
58a9182f1da50a3543a0e781206bc7944c6c124e,[Bugzilla/Bug.pm],1,1,1,0.0,1,0
55f34f1b41e8fac264d981a91f33009fb3cdf791,[skins/standard/global.css],1,1,1,0.0,1,0
0c6af1949d32610a5f5b2c616e05f940d6651653,[template/en/default/global/user-error.html.tmpl],1,1,1,0.0,1,0
8ca103d253892761f81f66e186e5e584bcb9b6c3,"[Bugzilla/Auth/Login/WWW/Env.pm, Bugzilla/User.pm]",1,2,2,0.16702680404522802,1,0
4495b4f13d49bab6c4102da658293258cfae188e,[Bugzilla/Bug.pm],1,1,1,0.0,1,0
8366433bfaa7d3a05af0283793f71b8e12a76f37,"[Bugzilla/Auth/Login/WWW/Env.pm, Bugzilla/User.pm]",1,2,2,0.863120568566631,1,0
1c7102dddc487857141f5a9b16c11d60c3f487f7,[docs/xml/installation.xml],1,1,1,0.0,1,0
684cbddd0152fea3f3096076975fe96ed7cb9085,[skins/standard/global.css],1,1,1,0.0,1,0
4fd2d5506f7d79e602d5b3255bbcd199dea4de14,[Bugzilla/Bug.pm],1,1,1,0.0,1,0
2d642a6de9064d38bcaca2c16a38b57bcd103437,"[Bugzilla/Auth/Login/WWW/Env.pm, Bugzilla/User.pm]",1,2,2,0.863120568566631,1,0
e13d2bb8b588d8fe347a090a23453d894c833b0f,[template/en/default/admin/flag-type/list.html.tmpl],1,1,1,0.0,1,0
286c0ad1454c120b61e1d162b236f6fb27b77e46,"[skins/standard/show_multiple.css, template/en/default/bug/show-multiple.html.tmpl, template/en/default/filterexceptions.pl]",2,3,3,0.5973968256630405,1,0
a6ac9c46f626d10ba9856afac13d55057e68689c,[docs/xml/installation.xml],1,1,1,0.0,1,0
22d91ae8829b9d914e793a41ab8b14b451988ae5,"[docs/xml/Bugzilla-Guide.xml, docs/xml/about.xml, docs/xml/administration.xml, docs/xml/bugzilla.ent, docs/xml/conventions.xml, docs/xml/customization.xml, docs/xml/faq.xml, docs/xml/gfdl.xml, docs/xml/glossary.xml, docs/xml/index.xml, docs/xml/installation.xml, docs/xml/modules.xml, docs/xml/patches.xml, docs/xml/security.xml, docs/xml/troubleshooting.xml, docs/xml/using.xml]",1,1,16,3.0389158128640927,1,0
22c141030bfd6a3a5e911cad72bed53f6553c8af,"[describecomponents.cgi, enter_bug.cgi, globals.pl]",1,1,3,1.1440680581433842,1,0
8f6a5f73c16a92fbcfa9d3db4c323cd338845efb,[template/en/default/admin/products/edit-common.html.tmpl],1,1,1,0.0,1,0
af703f64fdcc4f214a9cce5e990907ce4ec8ada8,"[Bugzilla/DB/Schema.pm, checksetup.pl]",2,2,2,0.9182958340544894,1,0
3e11f000416834e4dd994012d8852e8e55251d1f,"[Bugzilla/BugMail.pm, Bugzilla/Config/MTA.pm, docs/xml/administration.xml, template/en/default/admin/params/mta.html.tmpl, template/en/default/email/password.txt.tmpl]",3,5,5,2.146639673307367,1,0
34159623742cea3107168167ff47b395b41c8e26,"[template/en/default/attachment/list.html.tmpl, template/en/default/attachment/show-multiple.html.tmpl, template/en/default/bug/show.xml.tmpl]",1,2,3,1.5849625007211559,1,0
3cdacc402e19398d54c5f3cdfec4cd3724e66359,"[docs/xml/Bugzilla-Guide.xml, docs/xml/about.xml, docs/xml/administration.xml, docs/xml/bugzilla.ent, docs/xml/conventions.xml, docs/xml/customization.xml, docs/xml/faq.xml, docs/xml/gfdl.xml, docs/xml/glossary.xml, docs/xml/index.xml, docs/xml/installation.xml, docs/xml/modules.xml, docs/xml/patches.xml, docs/xml/security.xml, docs/xml/troubleshooting.xml, docs/xml/using.xml]",1,1,16,3.0718331915684463,1,0
2c265ad22dfc62dad765e493d1a2d0b646f617b3,[template/en/default/reports/keywords.html.tmpl],1,1,1,0.0,1,0
947e78213b1a987b483a9c29f3436dc15a80d6e0,"[checksetup.pl, template/en/default/admin/classifications/add.html.tmpl, template/en/default/admin/classifications/edit.html.tmpl, template/en/default/admin/components/create.html.tmpl, template/en/default/admin/components/edit.html.tmpl, template/en/default/admin/flag-type/edit.html.tmpl, template/en/default/admin/keywords/create.html.tmpl, template/en/default/admin/keywords/edit.html.tmpl, template/en/default/admin/users/userdata.html.tmpl, template/en/default/attachment/create.html.tmpl, template/en/default/attachment/edit.html.tmpl, template/en/default/bug/create/create-guided.html.tmpl, template/en/default/bug/create/create.html.tmpl, template/en/default/bug/edit.html.tmpl, template/en/default/global/setting-descs.none.tmpl, template/en/default/global/textarea.html.tmpl, template/en/default/list/edit-multiple.html.tmpl, template/en/default/pages/linkify.html.tmpl, template/en/default/whine/schedule.html.tmpl]",2,13,19,3.8075532258841323,1,0
631d910c3dbce389638550c66ab2e6d847703687,"[globals.pl, skins/standard/global.css]",2,2,2,1.0,1,0
599b3acca59b1c6b469da37f6fdf459fab778a3c,"[Bugzilla/BugMail.pm, Bugzilla/Config/MTA.pm]",1,2,2,0.7219280948873623,1,0
7a67cd30a31905047966bdedd418e389138326f0,[Bugzilla/DB/Schema/Pg.pm],1,1,1,0.0,1,0
bf1e1f7c24389c140a8768cf3d243e6ffbdd2f8a,"[editusers.cgi, template/en/default/admin/users/search.html.tmpl, template/en/default/global/user-error.html.tmpl]",2,3,3,1.282516713430642,1,0
ca0d3d364bbfbd5fcb65c1153a21469b077ba80e,"[Bugzilla/Config/Common.pm, Bugzilla/Config/Core.pm, skins/standard/global.css, template/en/default/account/auth/ldap-error.html.tmpl, template/en/default/admin/params/core.html.tmpl, template/en/default/global/code-error.html.tmpl, template/en/default/global/docslinks.html.tmpl, template/en/default/global/user-error.html.tmpl]",3,5,8,2.1481259761873326,1,0
18e0eec795f702856470969a7f0dc134a3686ffc,"[Bugzilla/Config/Common.pm, Bugzilla/Config/Core.pm]",1,1,2,1.0,1,0
b3cdb97bbfa7fa359d30267530dbc6f213ba33c3,[Bugzilla/Bug.pm],1,1,1,0.0,1,0
a2c777c13f60047caa3337591ceb869dc7f670e3,"[contrib/bug_email.pl, editmilestones.cgi, importxml.pl]",2,2,3,1.5,1,0
48770585552dc34cea6bdeef4147227e85b9225a,"[js/expanding-tree.js, showdependencytree.cgi, skins/standard/dependency-tree.css, template/en/default/bug/dependency-tree.html.tmpl, template/en/default/filterexceptions.pl]",4,5,5,1.6192944934631344,1,0
4b1e1c2fb6578ad0cf18bb0854c05994e55f7668,"[Bugzilla/Config/Common.pm, Bugzilla/Config/Core.pm]",1,1,2,1.0,1,0
17b3e4fac656680c937caf33271140d846319899,[docs/xml/installation.xml],1,1,1,0.0,1,0
a89aabb6eb972473b226a627aec6060eda7d4ed1,[relogin.cgi],1,1,1,0.0,1,0
aed0dc118c22c05799ea2e656d4a3b68356e9c28,[editusers.cgi],1,1,1,0.0,1,0
1f9aca5b51489e69002d901c4ae12ca7dcea1892,[docs/xml/installation.xml],1,1,1,0.0,1,0
32da98605d7ccbfc62a763a38deb2e1298623bfe,[defparams.pl],1,1,1,0.0,1,0
4b361d276d442c0cf87b41b078178304f0d1e5fa,[relogin.cgi],1,1,1,0.0,1,0
5203f4a81799ab19137636dbe8c30ef68aa876db,[docs/xml/installation.xml],1,1,1,0.0,1,0
c8dbe96b7cabb9111af71b499c887040e4ada977,[docs/xml/installation.xml],1,1,1,0.0,1,0
9aa1c05eed0f2fcae94296f90c5a84d26e8846a4,[Bugzilla/Config/Common.pm],1,1,1,0.0,1,0
f1b3f666bf2c18efd00ee336d9578043a56dd176,[docs/xml/installation.xml],1,1,1,0.0,1,0
08c72b656e8b8c19ebe6b6f306c129496753bfba,[docs/xml/installation.xml],1,1,1,0.0,1,0
1a6685e1774c8c6a26a96937e64c2ccc5b65931b,[docs/xml/installation.xml],1,1,1,0.0,1,0
8fe7d861fadbb41d05761d0908c4d0290fcd6331,[docs/xml/installation.xml],1,1,1,0.0,1,0
b6a24a870778e744a65008bccc1d299dec366bae,[docs/xml/installation.xml],1,1,1,0.0,1,0
7284a218cd6c5b223c27b9cb1082abcc4ff6b1f5,[docs/xml/security.xml],1,1,1,0.0,1,0
ee3315c1c5c851769375d286798aee301cd42b7d,[docs/xml/installation.xml],1,1,1,0.0,1,0
dd15106221414384c52bee67b8050d3304267294,"[docs/xml/installation.xml, docs/xml/using.xml]",1,1,2,1.0,1,0
0361b53d3516b3dd65daf668d4f836446eba0959,[docs/xml/installation.xml],1,1,1,0.0,1,0
8564aba89dd1649deb47a258ddb691bc8778bef3,[docs/xml/installation.xml],1,1,1,0.0,1,0
4eb14ec28bb80bc00a15d7b2bdabc7f761491e99,[docs/xml/security.xml],1,1,1,0.0,1,0
40e3c12d75b83b00743fbfcf84958b475eae6f0d,[docs/xml/installation.xml],1,1,1,0.0,1,0
3179b374e791dc72ee5e4fd2ce99f66a01f491a7,[docs/xml/installation.xml],1,1,1,0.0,1,0
c7d5d4526b647e8d0aa4a123a7fb9f9cfe0fd546,"[skins/standard/dependency-tree/bug-item.png, skins/standard/dependency-tree/tree-closed.png, skins/standard/dependency-tree/tree-open.png]",1,1,3,0.0,1,0
66b39c1406e3d5b5b2cd35f2ca103a70a0620f75,[docs/xml/installation.xml],1,1,1,0.0,1,0
a2cdcb2b369905886dbfb296bc4a2dfae399a81d,[docs/xml/security.xml],1,1,1,0.0,1,0
f9fa3c42ddb864c93494147a339a0c11c9467bd4,[docs/xml/installation.xml],1,1,1,0.0,1,0
80db88c9d89fe963ab407304849a3cd452fe1bef,[docs/xml/customization.xml],1,1,1,0.0,1,0
f7823deb9c44fd6003dab9e3b74d9dd3f4ba7f3d,[docs/xml/customization.xml],1,1,1,0.0,1,0
4188b4176fc66e955ed6dbc22cd9b7c2e4aca17f,[docs/xml/security.xml],1,1,1,0.0,1,0
170c46ee25488bcbae9dd9d3d4cc9d54c78c274d,"[template/en/default/account/auth/login-small.html.tmpl, template/en/default/account/auth/login.html.tmpl]",1,1,2,0.8112781244591328,1,0
7661e52f349f4a858c8df8148033e4dd4e048f54,[docs/xml/customization.xml],1,1,1,0.0,1,0
0bd92669e6bd6cde59e85cbf9e827feb94d2536c,"[Bugzilla/Bug.pm, editproducts.cgi, process_bug.cgi]",2,2,3,1.4646818130068593,1,0
af3bf66ccdf1756a152bd82454f7c6fa2ebc3d82,[contrib/merge-users.pl],1,1,1,0.0,1,0
ab055bf4f6afe05ac6501077ed97ebc5af9532c5,[contrib/merge-users.pl],1,1,1,0.0,1,0
c8c635b7fb9a4513989b878af7573c8f55979059,[docs/xml/customization.xml],1,1,1,0.0,1,0
645307b7dad849212762afcecf819a268cc810d3,"[Bugzilla/Bug.pm, Bugzilla/Template.pm, attachment.cgi, globals.pl, summarize_time.cgi, t/008filter.t, template/en/default/attachment/create.html.tmpl, template/en/default/attachment/edit.html.tmpl, template/en/default/attachment/show-multiple.html.tmpl, template/en/default/bug/summarize-time.html.tmpl, template/en/default/filterexceptions.pl, template/en/default/global/user-error.html.tmpl, template/en/default/global/variables.none.tmpl, template/en/extension/filterexceptions.pl]",4,8,14,1.6301433989053054,1,0
1df21b6772b8639da6e4e31f9c7593c4d633dd37,[contrib/merge-users.pl],1,1,1,0.0,1,0
e66b78bddda6ed4f31267f552570d13d5ca5f60f,],0,0,0,0.0,1,0
ecb9625fa649531aa4a154f77ee4bb46f85a33f0,[whine.pl],1,1,1,0.0,1,0
315ca19d2b96f7a0516fe7f0b611a48edae75824,"[editusers.cgi, template/en/default/account/profile-activity.html.tmpl, template/en/default/admin/users/edit.html.tmpl, template/en/default/admin/users/list.html.tmpl]",2,3,4,1.186122942828856,1,0
ba36fe893bb445a504f5f56b4216abc23ec1f639,[whine.pl],1,1,1,0.0,1,0
673c9a789036981b6c39feee66d68286ad494143,[docs/xml/about.xml],1,1,1,0.0,1,0
804bb71071a1fd6703383a9434260c4c7e3686fe,],0,0,0,0.0,1,0
b9af4c489201b165274b30e179120c6e64701e48,[whine.pl],1,1,1,0.0,1,0
ac95ffea6f3804713a3065c4562c09060ffb0c78,[docs/xml/about.xml],1,1,1,0.0,1,0
20b6c573d547efd788b3ab34060d5f0e58659a54,[docs/xml/about.xml],1,1,1,0.0,1,0
fac73ca42be953c33f3538c7024a30665ef8ac5d,"[docs/xml/administration.xml, docs/xml/installation.xml]",1,1,2,0.5079353563991224,1,0
2b33ee2db7ae8ba2bf2e038f848b7e08d977b9ed,[docs/xml/using.xml],1,1,1,0.0,1,0
373a7393f4ad89938c1a0d257ecdbd8b9a73d037,[docs/xml/about.xml],1,1,1,0.0,1,0
7a0c7951f096c7f6f170c5fa7cd6df07e1daebbe,[docs/xml/about.xml],1,1,1,0.0,1,0
cdc080b779d7c5827db536676b977ccf0db55c2e,"[docs/xml/administration.xml, docs/xml/installation.xml]",1,1,2,0.5079353563991224,1,0
da1db1402be5d249990d1beb5f41390b92f7e0be,"[Bugzilla/Field.pm, post_bug.cgi, process_bug.cgi]",2,2,3,1.4501471402217307,1,0
692dcb72ed5ed25d2320a962ab28008a797c5b08,"[Bugzilla/Auth/Verify/LDAP.pm, Bugzilla/Component.pm, Bugzilla/Hook.pm, Bugzilla/Template/Plugin/Hook.pm]",1,3,4,1.8423709931771086,1,0
e46998a179b47931d49d5d9ea3a33d46aba2d881,[docs/xml/about.xml],1,1,1,0.0,1,0
bb3fbf87006158bd6768aff8dd82165864b3c14a,"[docs/xml/administration.xml, docs/xml/installation.xml]",1,1,2,0.4947067955569068,1,0
90e1688ef09332be00b31278f8d5ee7703ac81b2,"[Bugzilla/Config.pm, Bugzilla/Hook.pm, Bugzilla/Template.pm, Bugzilla/Template/Plugin/Hook.pm, checksetup.pl, docs/xml/customization.xml, enter_bug.cgi]",3,4,7,1.8333746049979294,1,0
