Hash,File,LA,LD,LT,isAdded,isRemoved
6967405a89a660884a9b1475d3c555a7ae289fbb,docker_files/install_deps.sh,34,0,35,1,0
6967405a89a660884a9b1475d3c555a7ae289fbb,docker_files/my.cnf,42,0,43,1,0
6967405a89a660884a9b1475d3c555a7ae289fbb,docker_files/my_config.sh,9,0,10,1,0
6967405a89a660884a9b1475d3c555a7ae289fbb,docker_files/rpm_list,34,0,35,1,0
6967405a89a660884a9b1475d3c555a7ae289fbb,docker_files/runtests.sh,111,0,112,1,0
6967405a89a660884a9b1475d3c555a7ae289fbb,docker_files/sudoers,9,0,10,1,0
6967405a89a660884a9b1475d3c555a7ae289fbb,docker_files/supervisord.conf,25,0,26,1,0
8c54443dd24eb15576dd5c2ebfbc6ce174276b3c,Bugzilla/Install/Localconfig.pm,4,0,418,0,0
8c54443dd24eb15576dd5c2ebfbc6ce174276b3c,mod_perl.pl,1,1,170,0,0
8c54443dd24eb15576dd5c2ebfbc6ce174276b3c,template/en/default/setup/strings.txt.pl,4,0,472,0,0
38e12dd8a2c0b35391f20b60e9e3e8643c08f404,Bugzilla/API/1_0/Resource/Bug.pm,20,10,4919,0,0
38e12dd8a2c0b35391f20b60e9e3e8643c08f404,Bugzilla/API/1_0/Util.pm,2,3,540,0,0
6ef9bbb5abeee1bd7c06d9b74dcb29afbe424fa6,template/en/default/global/code-error.html.tmpl,1,1,463,0,0
6ef9bbb5abeee1bd7c06d9b74dcb29afbe424fa6,template/en/default/global/docslinks.html.tmpl,9,9,45,0,0
e337e452b4e28aa26736451d3413945ee965dc85,Bugzilla/Constants.pm,1,1,741,0,0
67b6e9f3fb4034482ab2de72191e980e8a5bd0b6,Bugzilla/Bug.pm,1,0,5004,0,0
6ef9bbb5abeee1bd7c06d9b74dcb29afbe424fa6,template/en/default/global/user-error.html.tmpl,67,69,2097,0,0
82a0ece444c65e4354ea3643e63ff7c9f547a8de,Bugzilla/Constants.pm,1,1,719,0,0
9faa0dc04c8e362afa8044f3524a92f7d1f7c98d,.travis.yml,0,0,1,0,1
f798c044aa06e9f8f3dc174e0d4d2710c76aaa37,docs/en/rst/using/tips.rst,1,1,87,0,0
75760c8acca7560f58f2290fca265603bb3992b3,template/en/default/global/code-error.html.tmpl,1,1,459,0,0
75760c8acca7560f58f2290fca265603bb3992b3,template/en/default/global/docslinks.html.tmpl,9,9,45,0,0
49cfb4483f99f5252e4ab55bf014070acd21cbe6,.travis.yml,0,0,1,0,1
c68826577e4bb8014d5fe89e89d1d76b257125b9,docs/en/rst/about/index.rst,2,2,129,0,0
c68826577e4bb8014d5fe89e89d1d76b257125b9,docs/en/rst/administering/workflow.rst,1,3,33,0,0
75760c8acca7560f58f2290fca265603bb3992b3,template/en/default/global/user-error.html.tmpl,67,69,2047,0,0
38e12dd8a2c0b35391f20b60e9e3e8643c08f404,Bugzilla/Bug.pm,10,0,5003,0,0
38e12dd8a2c0b35391f20b60e9e3e8643c08f404,Bugzilla/Flag.pm,41,15,1252,0,0
6bd668c23ea614357b3028520d7539b7e48b6568,Bugzilla/Install/Localconfig.pm,1,1,418,0,0
fdf115604c036ca05656380f91a29166b40ed1f0,docs/en/rst/index.rst,0,15,16,0,0
fdf115604c036ca05656380f91a29166b40ed1f0,docs/en/rst/installing/apache-windows.rst,2,2,137,0,0
39d8526e3b986f42cce3d476319051238d5424e7,docs/en/rst/api/core/v1/attachment.rst,2,4,356,0,0
fdf115604c036ca05656380f91a29166b40ed1f0,docs/en/rst/installing/db_server.rst,18,0,19,1,0
fdf115604c036ca05656380f91a29166b40ed1f0,docs/en/rst/installing/index.rst,2,0,39,0,0
fdf115604c036ca05656380f91a29166b40ed1f0,docs/en/rst/installing/linux.rst,1,0,206,0,0
fdf115604c036ca05656380f91a29166b40ed1f0,docs/en/rst/installing/nginx.rst,9,0,10,1,0
